AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
197,137,Umesh Achari,40.0,1.0,A7
198,137,Shivakumar D'Souza,25.0,3.0,A8
199,137,Umesh Bhat,23.0,1.0,A9
200,137,Basavaraj Achari,32.0,1.0,A10
201,137,Basavaraj Pai,30.0,1.0,A11
202,138,Venkatesh Poojari,,1.0,A1
203,138,Prakash Hegde,29.0,,A2
204,139,Hanumantha Poojari,22.0,1.0,A1
205,140,Basavaraj Banakar,,1.0,A1
206,140,Kiran Poojari,19.0,1.0,A2
207,140,Wilson Nayaka,27.0,1.0,A3
208,141,Suresh Naik,33.0,1.0,A1
209,141,Irfan Pai,26.0,1.0,A2
210,141,Praveen Desai,,1.0,A3
211,143,Basavaraj D'Souza,32.0,1.0,A1
212,143,Girish Patil,,1.0,A2
213,144,Manjula Kulkarni,23.0,,A1
214,145,Umesh Naik,32.0,1.0,A1
215,145,Prakash Khan,25.0,1.0,A2
216,146,Chetan Hegde,15.0,1.0,A1
217,147,Praveen Banakar,18.0,1.0,A1
218,148,Suresh Fernandes,26.0,1.0,A1
219,148,Irfan Banakar,,1.0,A2
220,149,Wilson Shetty,32.0,1.0,A1
221,149,Suresh Kumar,,1.0,A2
222,150,Wilson Desai,25.0,1.0,A1
223,150,Santosh Naik,25.0,1.0,A2
224,150,Kiran D'Souza,21.0,1.0,A3
225,151,Girish Biradar,27.0,1.0,A1
226,151,Prakash Achari,28.0,1.0,A2
227,151,Manjunath D'Souza,27.0,1.0,A3
228,151,Naveen Angadi,19.0,1.0,A4
229,152,Hanumantha Khan,23.0,1.0,A1
230,154,Srinivas Kulkarni,19.0,1.0,A1
231,155,Raghavendra D'Souza,35.0,1.0,A1
232,156,Raghavendra Nayaka,22.0,1.0,A1
233,158,Raghavendra Kulkarni,,1.0,A1
234,158,Chetan Achari,23.0,1.0,A2
235,159,Anil Angadi,32.0,,A1
236,159,Raghavendra Nayaka,33.0,1.0,A2
237,160,Mohammed D'Souza,,1.0,A1
238,161,Naveen Angadi,27.0,1.0,A1
239,163,Nagaraj Bhat,34.0,1.0,A1
240,163,Srinivas Reddy,,1.0,A2
241,163,Anthony Poojari,50.0,1.0,A3
242,163,Anil Kulkarni,23.0,1.0,A4
243,166,Manjunath Fernandes,,1.0,A1
244,167,Anthony Achari,15.0,1.0,A1
245,168,Kiran Rao,24.0,1.0,A1
246,168,Mary Kumar,,2.0,A2
247,169,Srinivas Pai,33.0,1.0,A1
248,170,Umesh Hegde,20.0,1.0,A1
249,171,Ramesh D'Souza,32.0,1.0,A1
250,171,Imran Murthy,,1.0,A2
251,172,Harish Pai,17.0,1.0,A1
252,174,Geetha Pai,38.0,2.0,A1
253,175,Harish Kulkarni,21.0,1.0,A1
254,176,Wilson Fernandes,,1.0,A1
255,176,Basavaraj Angadi,15.0,,A2
256,177,Umesh D'Souza,15.0,,A1
257,178,Girish Nayaka,29.0,1.0,A1
258,179,Raghavendra Reddy,,1.0,A1
259,179,Nagaraj Naik,21.0,,A2
260,179,Santosh Achari,32.0,1.0,A3
261,181,Ramesh Patil,26.0,1.0,A1
262,182,Basavaraj Patil,26.0,1.0,A1
263,183,Mohammed Rao,,1.0,A1
264,183,Abdul Pai,22.0,1.0,A2
265,185,Srinivas Bhat,,1.0,A1
266,187,Abdul Kulkarni,,1.0,A1
267,188,Ramesh Achari,17.0,1.0,A1
268,190,Anthony Fernandes,,1.0,A1
269,191,Kiran Fernandes,32.0,1.0,A1
270,192,Anil Bhat,18.0,1.0,A1
271,193,Abdul Bhat,21.0,1.0,A1
272,194,Manjunath Desai,28.0,1.0,A1
273,194,Irfan Patil,25.0,1.0,A2
274,194,Girish Poojari,,1.0,A3
275,195,Basavaraj Naik,23.0,1.0,A1
276,197,Abdul Swamy,18.0,1.0,A1
277,198,Raghavendra Pai,21.0,1.0,A1
278,198,Girish Rao,23.0,1.0,A2
279,198,Chetan Bhat,25.0,1.0,A3
280,198,Hanumantha Kumar,19.0,1.0,A4
281,199,Hanumantha Achari,28.0,1.0,A1
282,199,Irfan D'Souza,39.0,1.0,A2
283,201,Irfan Rao,24.0,1.0,A1
284,201,Ayesha Rao,27.0,2.0,A2
285,201,Hanumantha Gowda,28.0,1.0,A3
286,203,Harish Achari,28.0,1.0,A1
287,204,Abdul Hegde,38.0,1.0,A1
288,204,Manjunath Rao,21.0,1.0,A2
289,206,Mahesh Patil,18.0,1.0,A1
290,208,Praveen Swamy,33.0,1.0,A1
291,208,Praveen Nayaka,,1.0,A2
292,209,Shivakumar Shetty,,1.0,A1
293,209,Dinesh Biradar,27.0,1.0,A2
294,210,Lokesh Naik,31.0,1.0,A1
295,212,Raghavendra Kulkarni,16.0,1.0,A1
296,213,Suresh Gowda,,3.0,A1
297,214,Venkatesh Rao,33.0,1.0,A1
298,214,Mohammed Naik,54.0,1.0,A2
299,214,Basavaraj Hegde,22.0,1.0,A3
300,215,Nagaraj Fernandes,,1.0,A1
301,216,Mohammed Nayaka,21.0,1.0,A1
302,217,Basavaraj Patil,28.0,1.0,A1
303,218,Joseph Hegde,,1.0,A1
304,220,Shivakumar Banakar,29.0,1.0,A1
305,222,Naveen Angadi,19.0,1.0,A1
306,223,Dinesh Poojari,21.0,1.0,A1
307,223,Naveen Swamy,21.0,1.0,A2
308,225,Venkatesh Kulkarni,21.0,1.0,A1
309,227,Mohammed Swamy,,1.0,A1
310,228,Raghavendra Poojari,38.0,1.0,A1
311,230,Imran Poojari,19.0,1.0,A1
312,230,Abdul Bhat,19.0,1.0,A2
313,231,Raghavendra Sheikh,,,A1
314,234,Anthony Murthy,26.0,1.0,A1
315,234,Chetan Pai,21.0,1.0,A2
316,234,Abdul Biradar,,1.0,A3
317,234,Mary Sheikh,28.0,2.0,A4
318,234,Venkatesh Bhat,19.0,1.0,A5
319,234,Santosh Shetty,26.0,1.0,A6
320,234,Santosh Kumar,,1.0,A7
321,234,Harish Naik,17.0,1.0,A8
322,234,Ramesh Fernandes,23.0,1.0,A9
323,234,Prakash Pai,15.0,,A10
324,234,Nagaraj Bhat,,,A11
325,235,Basavaraj Gowda,,1.0,A1
326,236,Kiran Poojari,25.0,1.0,A1
327,238,Praveen Swamy,42.0,1.0,A1
328,239,Basavaraj Gowda,27.0,1.0,A1
329,240,Harish Angadi,34.0,1.0,A1
330,242,Chetan Kulkarni,53.0,1.0,A1
331,243,Wilson Sheikh,29.0,,A1
332,244,Imran Shetty,36.0,1.0,A1
333,245,Irfan Khan,18.0,1.0,A1
334,245,Santosh Biradar,,1.0,A2
335,245,Basavaraj Kumar,29.0,1.0,A3
336,245,Prakash Nayaka,30.0,1.0,A4
337,248,Deepa Sheikh,42.0,2.0,A1
338,248,Joseph Achari,,1.0,A2
339,248,Imran Rao,17.0,1.0,A3
340,249,Naveen Kumar,38.0,1.0,A1
341,250,Abdul Bhat,,1.0,A1
342,251,Mary Pai,,,A1
343,253,Raghavendra Rao,,,A1
344,254,Hanumantha Khan,23.0,1.0,A1
345,254,Dinesh Biradar,22.0,1.0,A2
346,254,Chetan Kumar,21.0,1.0,A3
347,255,Nagaraj Reddy,,1.0,A1
348,258,Nagaraj Fernandes,22.0,1.0,A1
349,259,Srinivas Nayaka,37.0,,A1
350,259,Nagaraj Gowda,24.0,1.0,A2
351,259,Girish Swamy,29.0,1.0,A3
352,260,Venkatesh Poojari,,1.0,A1
353,261,Savitha Kulkarni,21.0,2.0,A1
354,262,Praveen Biradar,24.0,1.0,A1
355,263,Prakash Reddy,22.0,1.0,A1
356,264,Srinivas Reddy,,1.0,A1
357,265,Santosh Kumar,42.0,1.0,A1
358,266,Dinesh Poojari,,,A1
359,267,Syed Pai,,1.0,A1
360,267,Irfan Khan,,1.0,A2
361,270,Harish Hegde,,1.0,A1
362,272,Syed Nayaka,32.0,1.0,A1
363,273,Hanumantha Rao,,1.0,A1
364,274,Manjunath Poojari,,1.0,A1
365,275,Praveen D'Souza,18.0,1.0,A1
366,276,Shivakumar Achari,,,A1
367,276,Srinivas Nayaka,24.0,1.0,A2
368,276,Irfan Shetty,26.0,1.0,A3
369,277,Abdul Poojari,,1.0,A1
370,278,Suresh Achari,36.0,,A1
371,278,Chetan Fernandes,,1.0,A2
372,278,Srinivas Banakar,19.0,1.0,A3
373,279,Manjunath Naik,33.0,1.0,A1
374,279,Naveen Swamy,29.0,1.0,A2
375,279,Dinesh Kulkarni,18.0,1.0,A3
376,280,Santosh Murthy,31.0,1.0,A1
377,281,Anil Gowda,,1.0,A1
378,281,Shivakumar Banakar,29.0,1.0,A2
379,281,Suresh Murthy,,1.0,A3
380,281,Shivakumar Banakar,29.0,1.0,A4
381,282,Dinesh Biradar,,1.0,A1
382,282,Prakash Kumar,24.0,1.0,A2
383,282,Basavaraj Achari,23.0,1.0,A3
384,283,Vijay Reddy,29.0,1.0,A1
385,283,Wilson Banakar,30.0,1.0,A2
386,285,Dinesh Banakar,21.0,1.0,A1
387,285,Ramesh Nayaka,,1.0,A2
388,285,Kiran Hegde,,,A3
389,285,Joseph Khan,19.0,1.0,A4
390,286,Ramesh Desai,,1.0,A1
391,287,Anthony Kulkarni,29.0,1.0,A1
392,288,Umesh Patil,,1.0,A1
393,288,Wilson Kulkarni,20.0,1.0,A2
394,291,Srinivas Desai,,,A1
395,291,Wilson Khan,22.0,1.0,A2
396,292,Naveen Murthy,15.0,1.0,A1
397,293,Basavaraj Fernandes,,1.0,A1
398,293,Srinivas Kulkarni,24.0,1.0,A2
399,293,Girish Bhat,,1.0,A3
400,294,Mahesh Naik,,1.0,A1
401,295,Mohammed Fernandes,39.0,,A1
402,296,Vijay Angadi,,1.0,A1
403,296,Hanumantha Angadi,20.0,1.0,A2
404,296,Wilson Kumar,,1.0,A3
405,296,Hanumantha Angadi,20.0,1.0,A4
406,297,Praveen Pai,21.0,1.0,A1
407,298,Suma Khan,,2.0,A1
408,299,Suresh Gowda,23.0,1.0,A1
409,299,Basavaraj Banakar,45.0,1.0,A2
410,299,Harish Kumar,,1.0,A3
411,300,Santosh Swamy,,1.0,A1
412,301,Umesh Murthy,,1.0,A1
413,301,Girish Swamy,34.0,1.0,A2
414,301,Girish Fernandes,17.0,1.0,A3
415,301,Mary Angadi,19.0,2.0,A4
416,301,Shobha Desai,21.0,2.0,A5
417,301,Manjula Banakar,31.0,,A6
418,301,Santosh Hegde,,1.0,A7
419,301,Umesh Patil,27.0,1.0,A8
420,301,Santosh Kulkarni,,1.0,A9
421,302,Harish Gowda,32.0,1.0,A1
422,303,Imran Hegde,36.0,1.0,A1
423,303,Kiran Achari,19.0,1.0,A2
424,305,Kiran Khan,30.0,,A1
425,305,Fathima Sheikh,21.0,2.0,A2
426,305,Suresh Gowda,32.0,1.0,A3
427,306,Umesh Biradar,,1.0,A1
428,306,Anthony Sheikh,,1.0,A2
429,307,Girish Gowda,,,A1
430,307,Naveen Rao,,1.0,A2
431,307,Joseph Poojari,52.0,,A3
432,308,Hanumantha Desai,,1.0,A1
433,309,Irfan D'Souza,25.0,1.0,A1
434,309,Dinesh Gowda,27.0,1.0,A2
435,310,Anil Kulkarni,27.0,1.0,A1
436,310,Nagaraj Desai,,1.0,A2
437,311,Praveen Reddy,19.0,1.0,A1
438,311,Wilson Fernandes,24.0,1.0,A2
439,312,Srinivas D'Souza,26.0,1.0,A1
440,313,Srinivas Shetty,34.0,1.0,A1
441,314,Hanumantha Swamy,26.0,1.0,A1
442,316,Hanumantha Hegde,,1.0,A1
443,317,Lakshmi Pai,24.0,2.0,A1
444,318,Srinivas Fernandes,34.0,1.0,A1
445,318,Abdul Swamy,27.0,,A2
446,319,Wilson Gowda,,1.0,A1
447,319,Mahesh Achari,,1.0,A2
448,320,Basavaraj Swamy,,1.0,A1
449,320,Mahesh Shetty,27.0,1.0,A2
450,321,Chetan Patil,,1.0,A1
451,321,Kiran D'Souza,,1.0,A2
452,321,Lakshmi Biradar,,2.0,A3
453,322,Vijay Fernandes,31.0,1.0,A1
454,325,Raghavendra Fernandes,,1.0,A1
455,326,Vijay Sheikh,33.0,1.0,A1
456,328,Nagaraj Angadi,44.0,1.0,A1
457,328,Venkatesh Sheikh,23.0,1.0,A2
458,329,Mohammed Banakar,18.0,1.0,A1
459,329,Asha Bhat,26.0,2.0,A2
460,329,Mohammed Banakar,18.0,1.0,A3
461,329,Mohammed Banakar,18.0,1.0,A4
462,330,Manjunath Kumar,,1.0,A1
463,330,Shivakumar Desai,,,A2
464,331,Nagaraj Biradar,58.0,1.0,A1
465,331,Manjunath Desai,27.0,1.0,A2
466,331,Naveen Nayaka,57.0,1.0,A3
467,331,Kavitha Swamy,22.0,2.0,A4
468,331,Wilson D'Souza,,1.0,A5
469,331,Santosh Reddy,41.0,,A6
470,331,Manjunath Achari,,1.0,A7
471,331,Suresh Reddy,,1.0,A8
472,331,Girish Kumar,23.0,1.0,A9
473,332,Basavaraj Gowda,,1.0,A1
474,333,Syed Biradar,,1.0,A1
475,335,Suresh Nayaka,,1.0,A1
476,335,Praveen Kumar,23.0,1.0,A2
477,336,Wilson Fernandes,29.0,1.0,A1
478,338,Harish Biradar,19.0,1.0,A1
479,338,Lokesh Rao,36.0,1.0,A2
480,338,Shivakumar Rao,,1.0,A3
481,338,Rekha Kulkarni,26.0,2.0,A4
482,338,Syed Desai,29.0,1.0,A5
483,338,Lokesh Murthy,26.0,1.0,A6
484,340,Abdul Fernandes,28.0,1.0,A1
485,341,Nagaraj Banakar,22.0,1.0,A1
486,343,Mohammed Bhat,30.0,,A1
487,343,Anthony Sheikh,17.0,1.0,A2
488,345,Nagaraj Fernandes,29.0,1.0,A1
489,345,Naveen Swamy,29.0,1.0,A2
490,346,Umesh Sheikh,21.0,1.0,A1
491,346,Umesh Sheikh,21.0,1.0,A2
492,347,Girish Patil,29.0,1.0,A1
493,348,Raghavendra Reddy,29.0,1.0,A1
494,348,Ramesh Fernandes,30.0,1.0,A2
495,348,Ayesha Nayaka,26.0,2.0,A3
496,350,Dinesh Kulkarni,31.0,,A1
497,351,Geetha Sheikh,36.0,2.0,A1
498,351,Lokesh Naik,17.0,1.0,A2
499,351,Shivakumar Rao,,1.0,A3
500,351,Savitha Angadi,,2.0,A4
501,353,Umesh Kulkarni,,1.0,A1
502,353,Umesh Murthy,,,A2
503,354,Ramesh Fernandes,37.0,1.0,A1
504,355,Raghavendra Swamy,26.0,1.0,A1
505,356,Mohammed Kumar,,,A1
506,357,Manjunath Swamy,33.0,1.0,A1
507,358,Raghavendra Fernandes,,1.0,A1
508,359,Raghavendra Bhat,48.0,1.0,A1
509,361,Ramesh Desai,34.0,1.0,A1
510,361,Umesh Fernandes,16.0,1.0,A2
511,362,Santosh Pai,,1.0,A1
512,363,Anthony Desai,19.0,1.0,A1
513,364,Suresh Biradar,15.0,,A1
514,364,Santosh Desai,26.0,1.0,A2
515,366,Ramesh Naik,,1.0,A1
516,366,Manjunath Patil,,1.0,A2
517,367,Chetan Pai,30.0,1.0,A1
518,367,Imran Khan,23.0,1.0,A2
519,369,Joseph Biradar,,1.0,A1
520,370,Umesh Achari,26.0,1.0,A1
521,370,Mahesh Fernandes,29.0,1.0,A2
522,370,Pushpa Sheikh,25.0,2.0,A3
523,370,Suresh Swamy,,1.0,A4
524,371,Anthony Shetty,23.0,1.0,A1
525,371,Irfan D'Souza,25.0,1.0,A2
526,371,Syed Bhat,33.0,,A3
527,372,Ramesh Biradar,37.0,1.0,A1
528,372,Suresh Biradar,,1.0,A2
529,373,Chetan Poojari,25.0,1.0,A1
530,374,Kiran Poojari,,1.0,A1
531,375,Mahesh Khan,64.0,1.0,A1
532,375,Abdul Murthy,31.0,,A2
533,377,Anthony Naik,16.0,1.0,A1
534,377,Hanumantha Biradar,,1.0,A2
535,378,Naveen Angadi,19.0,1.0,A1
536,378,Praveen Shetty,19.0,1.0,A2
537,378,Srinivas Kulkarni,22.0,1.0,A3
538,380,Selvi Swamy,20.0,2.0,A1
539,381,Raghavendra Angadi,,1.0,A1
540,381,Mahesh Desai,20.0,1.0,A2
541,381,Prakash Naik,53.0,,A3
542,382,Shivakumar Sheikh,,1.0,A1
543,383,Lokesh D'Souza,24.0,1.0,A1
544,383,Dinesh Murthy,21.0,,A2
545,384,Kavitha Patil,24.0,,A1
546,385,Ayesha Naik,23.0,,A1
547,385,Rekha Kulkarni,,2.0,A2
548,386,Joseph Pai,19.0,1.0,A1
549,387,Wilson Pai,23.0,1.0,A1
550,387,Girish Rao,24.0,1.0,A2
551,388,Abdul D'Souza,37.0,1.0,A1
552,389,Umesh Kulkarni,23.0,1.0,A1
553,391,Naveen Gowda,28.0,1.0,A1
554,391,Naveen Gowda,28.0,1.0,A2
555,391,Naveen Gowda,28.0,1.0,A3
556,392,Chetan Murthy,30.0,1.0,A1
557,393,Suma Desai,,2.0,A1
558,393,Harish Naik,19.0,1.0,A2
559,393,Venkatesh Poojari,23.0,1.0,A3
560,395,Basavaraj Rao,28.0,1.0,A1
561,395,Ramesh Patil,,1.0,A2
562,395,Basavaraj Rao,28.0,1.0,A3
563,395,Basavaraj Rao,28.0,1.0,A4
564,397,Hanumantha Angadi,,1.0,A1
565,397,Kavitha Biradar,26.0,2.0,A2
566,397,Harish Bhat,36.0,1.0,A3
567,400,Lokesh Reddy,,1.0,A1
568,400,Girish Desai,22.0,1.0,A2
569,400,Ayesha Fernandes,,2.0,A3
570,400,Bhagya Murthy,18.0,2.0,A4
571,400,Anil Murthy,34.0,1.0,A5
572,400,Venkatesh Nayaka,40.0,1.0,A6
573,400,Wilson Fernandes,21.0,1.0,A7
574,400,Mahesh Nayaka,,1.0,A8
575,400,Basavaraj Nayaka,21.0,1.0,A9
576,401,Mohammed Biradar,32.0,1.0,A1
577,401,Wilson D'Souza,21.0,1.0,A2
578,405,Manjunath Kulkarni,29.0,1.0,A1
579,406,Srinivas Pai,,1.0,A1
580,408,Anthony Sheikh,22.0,,A1
581,409,Mahesh Banakar,,1.0,A1
582,410,Vijay D'Souza,40.0,1.0,A1
583,412,Basavaraj Swamy,19.0,1.0,A1
584,414,Srinivas Kulkarni,32.0,1.0,A1
585,415,Abdul Kulkarni,,1.0,A1
586,417,Naveen Achari,21.0,1.0,A1
587,418,Joseph Sheikh,22.0,1.0,A1
588,419,Srinivas Achari,20.0,1.0,A1
589,420,Manjula Fernandes,17.0,2.0,A1
590,420,Raghavendra Poojari,36.0,1.0,A2
591,421,Suma Shetty,18.0,2.0,A1
592,422,Joseph Kulkarni,28.0,1.0,A1
593,424,Manjula Naik,33.0,,A1
594,425,Kiran Nayaka,34.0,1.0,A1
