ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
68,59,Pallavi Hegde,41.0,20.0,1.0,31.0,2
69,60,Syed Biradar,41.0,19.0,1.0,46.0,1
70,61,Anitha Reddy,25.0,14.0,,,2
71,62,Anthony Murthy,40.0,6.0,2.0,,1
72,63,Fathima Poojari,37.0,17.0,1.0,42.0,2
73,64,Anil Desai,,14.0,1.0,49.0,1
74,65,Kavitha Naik,30.0,22.0,1.0,,2
75,66,Pallavi Sheikh,40.0,7.0,2.0,,2
76,67,Dinesh Swamy,48.0,17.0,1.0,49.0,1
77,68,Venkatesh Khan,33.0,15.0,,,1
78,69,Nagaraj Hegde,34.0,,1.0,9.0,1
79,70,Syed Achari,34.0,,1.0,8.0,1
80,71,Shivakumar Patil,26.0,7.0,,,1
81,72,Ramesh Gowda,42.0,2.0,,,1
82,73,Lokesh Reddy,45.0,18.0,1.0,48.0,1
83,74,Basavaraj Naik,18.0,11.0,1.0,31.0,1
84,75,Vijay Swamy,18.0,,1.0,,1
85,76,Pushpa Naik,27.0,2.0,1.0,4.0,2
86,77,Kavitha Desai,20.0,8.0,1.0,,2
87,78,Pallavi Banakar,44.0,22.0,1.0,30.0,2
88,79,Pallavi Bhat,41.0,4.0,1.0,36.0,2
89,79,Lokesh Hegde,36.0,16.0,,,1
90,80,Selvi Kumar,,1.0,1.0,,2
91,81,Basavaraj Swamy,54.0,,,,1
92,82,Imran Desai,21.0,7.0,,,1
93,83,Venkatesh Biradar,47.0,10.0,1.0,8.0,1
94,84,Kavitha Desai,,22.0,1.0,56.0,2
95,85,Asha Shetty,46.0,5.0,1.0,7.0,2
96,86,Chetan Bhat,53.0,17.0,1.0,54.0,1
97,87,Anil Angadi,49.0,1.0,1.0,,1
98,88,Chetan Patil,36.0,10.0,1.0,18.0,1
99,88,Joseph Fernandes,44.0,5.0,1.0,,1
100,89,Kiran Patil,37.0,24.0,1.0,,1
101,90,Suma Fernandes,34.0,9.0,1.0,,2
102,91,Rekha Khan,42.0,7.0,1.0,3.0,2
103,92,Prakash Biradar,28.0,23.0,,56.0,1
104,93,Abdul Biradar,27.0,,,,1
105,94,Vijay Hegde,39.0,,1.0,42.0,1
106,95,Bhagya Nayaka,43.0,8.0,1.0,19.0,2
107,96,Mahesh Gowda,40.0,,,,1
108,97,Geetha Kulkarni,51.0,,,20.0,2
109,98,Suma Biradar,33.0,5.0,1.0,,2
110,99,Sunitha Murthy,36.0,23.0,2.0,53.0,2
111,100,Bhagya D'Souza,56.0,13.0,1.0,,2
112,101,Wilson Nayaka,40.0,21.0,1.0,7.0,1
113,102,Divya Naik,38.0,12.0,1.0,,2
114,103,Manjula Banakar,32.0,,,44.0,2
115,104,Venkatesh Swamy,43.0,3.0,1.0,15.0,1
116,105,Mary Kulkarni,39.0,19.0,1.0,24.0,2
117,106,Selvi Naik,,,1.0,,2
118,107,Wilson D'Souza,42.0,24.0,1.0,44.0,1
119,108,Bhagya Shetty,27.0,5.0,1.0,57.0,2
120,109,Manjunath Nayaka,42.0,15.0,1.0,,1
121,110,Anthony Hegde,50.0,,,,1
122,111,Venkatesh Hegde,53.0,7.0,1.0,,1
123,112,Nagaraj Banakar,36.0,11.0,1.0,,1
124,113,Geetha Desai,,20.0,1.0,47.0,2
125,114,Asha Angadi,47.0,1.0,1.0,51.0,2
126,115,Divya Khan,55.0,4.0,1.0,,2
127,116,Sunitha Fernandes,24.0,1.0,1.0,19.0,2
128,117,Kavitha Biradar,18.0,11.0,1.0,,2
129,118,Geetha Achari,27.0,15.0,1.0,50.0,2
130,119,Girish Hegde,38.0,,1.0,52.0,1
131,120,Venkatesh Rao,48.0,3.0,,13.0,1
132,121,Srinivas Desai,35.0,7.0,1.0,8.0,1
133,122,Mary Kulkarni,36.0,18.0,1.0,16.0,2
134,123,Suresh Gowda,48.0,12.0,1.0,6.0,1
135,124,Prakash Achari,43.0,22.0,2.0,12.0,1
136,125,Anil Biradar,42.0,,1.0,36.0,1
137,126,Pallavi Bhat,,7.0,,4.0,2
138,127,Hanumantha Khan,46.0,8.0,1.0,,1
139,128,Deepa Naik,38.0,,1.0,,2
140,129,Santosh Poojari,57.0,25.0,1.0,6.0,1
141,129,Syed Biradar,47.0,5.0,1.0,,1
142,130,Mohammed Swamy,50.0,,1.0,55.0,1
143,131,Fathima Murthy,,10.0,1.0,31.0,2
144,131,Kiran Reddy,,11.0,1.0,43.0,1
145,132,Dinesh Poojari,,2.0,1.0,14.0,1
146,132,Lakshmi Kulkarni,45.0,8.0,1.0,45.0,2
147,133,Kavitha Angadi,67.0,4.0,2.0,,2
148,134,Vijay Sheikh,30.0,25.0,1.0,14.0,1
149,134,Kiran Pai,46.0,22.0,2.0,42.0,1
150,135,Raghavendra Khan,35.0,21.0,,,1
151,136,Umesh Naik,35.0,12.0,1.0,56.0,1
152,137,Harish Pai,50.0,18.0,,3.0,1
153,138,Anthony Poojari,23.0,9.0,,57.0,1
154,139,Manjula Naik,35.0,2.0,1.0,8.0,2
155,140,Kavitha Biradar,39.0,24.0,1.0,15.0,2
156,141,Asha Shetty,31.0,6.0,1.0,,2
157,142,Lakshmi Shetty,37.0,20.0,,39.0,2
158,143,Pallavi Pai,41.0,13.0,,49.0,2
159,143,Prakash Rao,59.0,11.0,2.0,17.0,1
160,144,Kiran Patil,41.0,20.0,,36.0,1
161,145,Rekha Kumar,19.0,16.0,1.0,49.0,2
162,146,Sunitha Banakar,29.0,9.0,2.0,34.0,2
163,146,Dinesh Bhat,36.0,,2.0,43.0,1
164,147,Asha Shetty,26.0,23.0,,1.0,2
165,148,Harish Murthy,35.0,6.0,2.0,12.0,1
166,149,Shivakumar Bhat,33.0,24.0,,9.0,1
167,149,Wilson Bhat,47.0,24.0,1.0,21.0,1
168,150,Shivakumar Bhat,38.0,22.0,2.0,,1
169,151,Deepa Achari,37.0,22.0,1.0,34.0,2
170,152,Abdul Kumar,66.0,12.0,1.0,13.0,1
171,153,Nagaraj Swamy,49.0,15.0,1.0,55.0,1
172,154,Shobha Swamy,35.0,10.0,1.0,34.0,2
173,155,Abdul Achari,30.0,18.0,1.0,35.0,1
174,156,Pushpa Kulkarni,32.0,16.0,1.0,,2
175,157,Mahesh D'Souza,34.0,,1.0,7.0,1
176,158,Savitha Angadi,44.0,1.0,,59.0,2
177,159,Nagaraj Achari,41.0,6.0,1.0,35.0,1
178,160,Shobha Biradar,41.0,3.0,1.0,59.0,2
179,161,Pushpa Poojari,32.0,17.0,1.0,,2
180,161,Umesh Desai,53.0,6.0,1.0,,1
181,162,Suma Khan,41.0,,1.0,25.0,2
182,163,Vijay Nayaka,49.0,11.0,1.0,32.0,1
183,164,Praveen Nayaka,25.0,1.0,,33.0,1
184,165,Vijay Rao,27.0,20.0,,60.0,1
185,166,Raghavendra Sheikh,26.0,,,,1
186,167,Selvi D'Souza,41.0,23.0,,37.0,2
187,168,Praveen Kumar,36.0,20.0,,,1
188,169,Wilson Reddy,29.0,14.0,1.0,60.0,1
189,170,Rekha Achari,55.0,25.0,1.0,,2
190,171,Hanumantha Nayaka,28.0,,1.0,29.0,1
191,172,Joseph Sheikh,39.0,7.0,,,1
192,173,Radha Fernandes,24.0,12.0,1.0,41.0,2
193,174,Pushpa Angadi,,11.0,,34.0,2
194,174,Harish Hegde,47.0,10.0,5.0,27.0,1
195,175,Kavitha Naik,49.0,11.0,2.0,55.0,2
196,176,Anthony Achari,23.0,13.0,1.0,50.0,1
197,177,Shivakumar Achari,20.0,14.0,1.0,11.0,1
198,178,Kavitha Bhat,22.0,8.0,1.0,60.0,2
199,179,Nagaraj Patil,,18.0,,,1
200,180,Venkatesh Angadi,40.0,23.0,,35.0,1
201,181,Santosh Rao,39.0,,1.0,52.0,1
202,182,Suma Hegde,38.0,11.0,2.0,48.0,2
203,183,Umesh Shetty,29.0,,1.0,11.0,1
204,184,Anil Sheikh,42.0,13.0,1.0,,1
205,184,Syed Naik,65.0,,,26.0,1
206,185,Anthony Hegde,63.0,15.0,,21.0,1
207,186,Anitha Swamy,35.0,1.0,,,2
208,187,Geetha Naik,37.0,25.0,1.0,13.0,2
209,188,Naveen Bhat,38.0,3.0,1.0,36.0,1
210,189,Basavaraj Sheikh,26.0,9.0,2.0,,1
211,190,Savitha Banakar,27.0,18.0,1.0,48.0,2
212,191,Ayesha Rao,32.0,25.0,1.0,41.0,2
213,192,Vijay Khan,30.0,,,18.0,1
214,193,Vijay Hegde,39.0,25.0,1.0,,1
215,194,Ayesha Kumar,49.0,15.0,1.0,,2
216,195,Selvi Achari,18.0,13.0,1.0,,2
217,196,Pallavi Achari,52.0,16.0,1.0,30.0,2
218,197,Anthony D'Souza,18.0,17.0,1.0,55.0,1
219,198,Raghavendra Hegde,26.0,,1.0,44.0,1
220,199,Syed Reddy,21.0,19.0,1.0,57.0,1
221,200,Harish Naik,48.0,12.0,1.0,9.0,1
222,201,Wilson Swamy,42.0,,1.0,34.0,1
223,202,Prakash Reddy,50.0,1.0,3.0,,1
224,203,Anil Naik,24.0,5.0,,36.0,1
225,204,Vijay Sheikh,21.0,10.0,1.0,40.0,1
226,205,Abdul Naik,35.0,,1.0,45.0,1
227,206,Harish Hegde,44.0,23.0,1.0,26.0,1
228,206,Basavaraj Kumar,43.0,24.0,,,1
229,207,Chetan Biradar,33.0,6.0,1.0,,1
230,208,Ayesha Hegde,41.0,15.0,1.0,,2
231,209,Geetha Pai,41.0,6.0,,,2
232,210,Mahesh Bhat,38.0,11.0,,40.0,1
233,211,Ayesha D'Souza,20.0,12.0,1.0,3.0,2
234,212,Umesh Bhat,41.0,25.0,1.0,12.0,1
235,213,Harish Desai,47.0,12.0,1.0,,1
236,214,Harish Pai,66.0,21.0,1.0,,1
237,214,Girish Fernandes,56.0,2.0,,27.0,1
238,215,Anil Achari,,,1.0,25.0,1
239,216,Anthony Gowda,33.0,6.0,,15.0,1
240,217,Lokesh Hegde,32.0,12.0,1.0,57.0,1
241,218,Mahesh D'Souza,43.0,9.0,1.0,6.0,1
242,219,Lokesh Patil,24.0,17.0,1.0,27.0,1
243,220,Divya Desai,34.0,8.0,1.0,26.0,2
244,220,Prakash Khan,36.0,,,60.0,1
245,221,Manjula Nayaka,35.0,25.0,1.0,38.0,2
246,222,Srinivas Angadi,59.0,19.0,1.0,46.0,1
247,223,Manjunath Khan,30.0,6.0,1.0,36.0,1
248,224,Srinivas Banakar,18.0,11.0,1.0,41.0,1
249,225,Wilson Pai,41.0,14.0,1.0,,1
250,226,Fathima Patil,35.0,4.0,,37.0,2
251,227,Prakash Fernandes,39.0,3.0,1.0,,1
252,227,Bhagya Reddy,36.0,18.0,2.0,40.0,2
253,228,Pushpa Sheikh,35.0,12.0,,16.0,2
254,229,Imran Desai,28.0,6.0,,53.0,1
255,230,Suresh Kulkarni,23.0,8.0,1.0,60.0,1
256,230,Deepa Banakar,38.0,2.0,1.0,,2
257,230,Ayesha Bhat,26.0,5.0,1.0,55.0,2
258,231,Asha Rao,32.0,9.0,1.0,,2
259,232,Pushpa Poojari,18.0,22.0,1.0,43.0,2
260,233,Manjunath Patil,29.0,22.0,2.0,,1
261,233,Shivakumar Gowda,43.0,23.0,1.0,,1
262,234,Nagaraj Fernandes,38.0,,2.0,1.0,1
263,235,Prakash Biradar,31.0,13.0,1.0,37.0,1
264,236,Vijay D'Souza,,13.0,,,1
265,237,Chetan Hegde,48.0,14.0,1.0,,1
266,238,Raghavendra Reddy,18.0,25.0,1.0,39.0,1
267,239,Srinivas Sheikh,30.0,6.0,1.0,53.0,1
268,240,Raghavendra Shetty,38.0,,1.0,,1
269,241,Lokesh Hegde,40.0,,1.0,,1
270,242,Radha Biradar,46.0,14.0,1.0,,2
271,243,Suma Kulkarni,46.0,,1.0,43.0,2
272,244,Anitha Angadi,27.0,21.0,1.0,60.0,2
273,245,Prakash Bhat,55.0,,1.0,21.0,1
274,246,Manjunath Naik,,14.0,1.0,,1
275,247,Suma Naik,40.0,12.0,1.0,,2
276,247,Basavaraj Pai,41.0,15.0,1.0,,1
277,248,Prakash Murthy,30.0,7.0,1.0,,1
278,249,Mohammed Swamy,43.0,22.0,1.0,41.0,1
279,250,Naveen Biradar,,4.0,3.0,,1
280,251,Wilson Biradar,25.0,18.0,1.0,18.0,1
281,252,Anthony Shetty,29.0,9.0,1.0,14.0,1
282,253,Pushpa Angadi,47.0,5.0,,58.0,2
283,254,Suma Sheikh,40.0,5.0,1.0,52.0,2
284,255,Raghavendra Banakar,38.0,7.0,1.0,,1
285,256,Suma Rao,30.0,20.0,1.0,12.0,2
286,257,Lokesh Desai,37.0,22.0,,1.0,1
287,258,Irfan Angadi,35.0,2.0,,15.0,1
288,258,Vijay Bhat,20.0,4.0,2.0,52.0,1
289,259,Vijay Nayaka,18.0,5.0,,15.0,1
290,260,Suresh Hegde,28.0,14.0,1.0,53.0,1
291,261,Deepa Kulkarni,18.0,18.0,,14.0,2
292,262,Suma Bhat,46.0,6.0,1.0,18.0,2
293,263,Mahesh Gowda,28.0,22.0,1.0,21.0,1
294,263,Nagaraj Shetty,75.0,10.0,2.0,,1
295,263,Prakash Bhat,35.0,20.0,1.0,,1
296,264,Pallavi Hegde,41.0,,,46.0,2
297,265,Deepa Poojari,,19.0,,,2
298,266,Shivakumar Shetty,36.0,13.0,1.0,,1
299,267,Anthony Pai,39.0,,1.0,54.0,1
300,268,Imran Desai,48.0,25.0,1.0,50.0,1
301,269,Savitha Achari,,,1.0,45.0,2
302,270,Vijay Sheikh,24.0,16.0,2.0,24.0,1
303,271,Santosh Fernandes,28.0,,1.0,48.0,1
304,272,Suresh Rao,39.0,18.0,2.0,,1
305,273,Manjula Patil,18.0,,1.0,,2
306,273,Bhagya Shetty,,23.0,2.0,32.0,2
307,274,Raghavendra Gowda,36.0,9.0,1.0,23.0,1
308,275,Abdul Angadi,47.0,22.0,1.0,,1
309,276,Ramesh Reddy,,,3.0,,1
310,277,Ramesh Hegde,21.0,9.0,1.0,,1
311,277,Prakash Swamy,36.0,17.0,1.0,9.0,1
312,278,Divya Kulkarni,26.0,17.0,1.0,3.0,2
313,278,Pallavi Desai,35.0,20.0,1.0,12.0,2
314,279,Shobha Murthy,36.0,14.0,1.0,,2
315,280,Selvi D'Souza,40.0,20.0,1.0,14.0,2
316,281,Mary Banakar,43.0,23.0,1.0,,2
317,282,Lokesh Fernandes,47.0,19.0,2.0,5.0,1
318,283,Suresh Biradar,18.0,,2.0,60.0,1
319,284,Venkatesh Swamy,47.0,22.0,1.0,,1
320,285,Prakash Angadi,43.0,19.0,2.0,,1
321,286,Umesh Biradar,47.0,21.0,2.0,7.0,1
322,287,Manjula Kulkarni,25.0,5.0,1.0,3.0,2
323,288,Imran Khan,32.0,9.0,1.0,,1
324,289,Suma Hegde,21.0,23.0,1.0,,2
325,289,Dinesh Hegde,36.0,8.0,1.0,,1
326,290,Dinesh Poojari,41.0,6.0,1.0,19.0,1
327,291,Ramesh Biradar,48.0,13.0,1.0,59.0,1
328,292,Sunitha Gowda,62.0,18.0,,,2
329,293,Selvi Desai,,14.0,1.0,,2
330,294,Raghavendra Reddy,46.0,7.0,1.0,,1
331,294,Pallavi Banakar,40.0,19.0,1.0,39.0,2
332,295,Lakshmi Naik,47.0,15.0,,,2
333,296,Praveen Fernandes,26.0,7.0,2.0,19.0,1
334,297,Venkatesh Bhat,51.0,22.0,,,1
335,298,Lokesh Gowda,,11.0,2.0,,1
336,299,Anil Patil,30.0,11.0,1.0,57.0,1
337,300,Manjula Kumar,21.0,6.0,1.0,,2
338,301,Lokesh Kumar,38.0,16.0,,39.0,1
339,302,Venkatesh Swamy,36.0,,,20.0,1
340,303,Dinesh Angadi,18.0,2.0,,,1
341,304,Srinivas Gowda,28.0,11.0,2.0,46.0,1
342,305,Sunitha Murthy,22.0,12.0,,,2
343,306,Kavitha Banakar,30.0,16.0,2.0,38.0,2
344,307,Fathima Naik,27.0,14.0,1.0,17.0,2
345,307,Harish Murthy,40.0,19.0,,43.0,1
346,307,Lakshmi Khan,47.0,20.0,1.0,,2
347,308,Wilson Murthy,41.0,2.0,1.0,,1
348,309,Savitha Khan,49.0,7.0,,41.0,2
349,310,Nagamma Achari,29.0,24.0,,23.0,2
350,311,Radha Bhat,,1.0,2.0,10.0,2
351,312,Srinivas Bhat,42.0,9.0,2.0,17.0,1
352,313,Suma Kumar,29.0,21.0,1.0,,2
353,314,Ayesha Khan,49.0,10.0,2.0,,2
354,315,Chetan D'Souza,18.0,1.0,2.0,18.0,1
355,316,Radha Poojari,54.0,16.0,2.0,,2
356,317,Selvi Kumar,34.0,21.0,1.0,42.0,2
357,318,Harish Gowda,34.0,2.0,,,1
358,319,Wilson Hegde,51.0,25.0,,26.0,1
359,320,Radha Reddy,39.0,22.0,,,2
360,321,Nagamma Kumar,43.0,5.0,1.0,,2
361,321,Radha D'Souza,36.0,2.0,1.0,,2
362,321,Hanumantha Bhat,37.0,13.0,1.0,21.0,1
363,322,Srinivas Patil,27.0,,1.0,39.0,1
364,323,Anil Shetty,24.0,7.0,1.0,55.0,1
365,323,Imran Banakar,,24.0,,,1
366,324,Vijay Kumar,47.0,4.0,1.0,,1
367,325,Girish Biradar,18.0,21.0,,2.0,1
368,325,Irfan Sheikh,39.0,16.0,,,1
369,325,Kiran Swamy,21.0,12.0,1.0,19.0,1
370,326,Syed Biradar,38.0,24.0,3.0,43.0,1
371,327,Girish Desai,44.0,23.0,1.0,50.0,1
372,328,Praveen Banakar,29.0,7.0,1.0,,1
373,329,Geetha Desai,43.0,3.0,3.0,47.0,2
374,330,Srinivas Poojari,45.0,2.0,1.0,,1
375,331,Manjunath Reddy,35.0,,1.0,,1
376,332,Santosh Shetty,55.0,2.0,2.0,49.0,1
377,333,Rekha Khan,39.0,1.0,,25.0,2
378,334,Dinesh Reddy,27.0,3.0,,46.0,1
379,335,Pallavi Bhat,47.0,6.0,1.0,22.0,2
380,336,Girish Poojari,18.0,4.0,1.0,,1
381,337,Vijay Desai,43.0,10.0,1.0,11.0,1
382,338,Lokesh Kumar,21.0,,1.0,,1
383,339,Bhagya Rao,55.0,22.0,3.0,,2
384,340,Vijay Murthy,23.0,1.0,1.0,5.0,1
385,341,Srinivas Bhat,47.0,,1.0,57.0,1
386,342,Anthony Khan,34.0,12.0,1.0,,1
387,343,Imran Sheikh,36.0,2.0,1.0,24.0,1
388,344,Savitha Poojari,29.0,1.0,1.0,50.0,2
389,345,Ramesh Swamy,55.0,15.0,,20.0,1
390,345,Suma Patil,34.0,19.0,1.0,,2
391,346,Harish Reddy,34.0,,,47.0,1
392,347,Suresh Nayaka,31.0,19.0,1.0,21.0,1
393,348,Imran Reddy,35.0,11.0,1.0,54.0,1
394,349,Nagaraj Swamy,24.0,1.0,1.0,,1
395,350,Wilson Banakar,41.0,5.0,,57.0,1
396,351,Fathima Banakar,23.0,13.0,1.0,55.0,2
397,352,Divya Rao,51.0,17.0,1.0,51.0,2
398,353,Mary Swamy,52.0,11.0,2.0,,2
399,354,Rekha Fernandes,50.0,8.0,2.0,19.0,2
400,355,Mary Pai,45.0,16.0,1.0,60.0,2
401,356,Shivakumar Patil,41.0,9.0,1.0,,1
402,357,Nagaraj Poojari,43.0,9.0,1.0,,1
403,358,Pallavi Desai,75.0,23.0,1.0,20.0,2
404,359,Dinesh Achari,28.0,12.0,1.0,36.0,1
405,360,Anitha Desai,26.0,19.0,,57.0,2
406,361,Harish D'Souza,38.0,3.0,1.0,59.0,1
407,362,Sunitha Angadi,38.0,21.0,,48.0,2
408,363,Naveen Bhat,36.0,25.0,,44.0,1
409,364,Pushpa Fernandes,45.0,16.0,1.0,56.0,2
410,364,Anitha D'Souza,53.0,5.0,,,2
411,365,Divya D'Souza,35.0,2.0,1.0,56.0,2
412,366,Abdul D'Souza,33.0,15.0,2.0,,1
413,367,Savitha Desai,43.0,,1.0,45.0,2
414,368,Lokesh Murthy,,7.0,1.0,17.0,1
415,369,Dinesh Rao,57.0,,1.0,19.0,1
416,370,Santosh Swamy,27.0,5.0,2.0,33.0,1
417,371,Basavaraj Swamy,38.0,9.0,1.0,42.0,1
418,372,Lokesh Poojari,26.0,9.0,1.0,50.0,1
419,373,Hanumantha Poojari,46.0,25.0,1.0,,1
420,374,Santosh Desai,59.0,16.0,1.0,44.0,1
421,375,Prakash Banakar,40.0,11.0,,28.0,1
422,376,Selvi Banakar,37.0,4.0,1.0,13.0,2
423,377,Shivakumar Khan,27.0,8.0,,10.0,1
424,378,Venkatesh Achari,27.0,9.0,1.0,,1
425,379,Chetan Khan,30.0,23.0,3.0,,1
426,380,Anthony Biradar,50.0,16.0,1.0,28.0,1
427,381,Anthony Desai,21.0,6.0,1.0,5.0,1
428,382,Girish Bhat,,21.0,1.0,,1
429,383,Praveen Banakar,52.0,21.0,1.0,49.0,1
430,384,Raghavendra Nayaka,,3.0,2.0,,1
431,384,Mohammed Murthy,33.0,18.0,1.0,,1
432,385,Kiran Nayaka,38.0,21.0,1.0,59.0,1
433,386,Manjula Nayaka,48.0,1.0,1.0,25.0,2
434,387,Kiran Khan,32.0,22.0,1.0,46.0,1
435,388,Divya Reddy,59.0,12.0,1.0,,2
436,389,Suresh Khan,37.0,18.0,1.0,59.0,1
437,390,Anthony Desai,49.0,16.0,,15.0,1
438,391,Mohammed Hegde,23.0,5.0,,45.0,1
439,392,Umesh Khan,37.0,,1.0,36.0,1
440,393,Radha D'Souza,39.0,9.0,1.0,34.0,2
441,394,Kiran Poojari,28.0,19.0,1.0,44.0,1
442,394,Fathima Shetty,,,1.0,13.0,2
443,394,Raghavendra Angadi,31.0,12.0,,,1
444,395,Sunitha Gowda,44.0,1.0,1.0,,2
445,396,Shivakumar Fernandes,37.0,,1.0,,1
446,396,Kavitha Kulkarni,49.0,23.0,,,2
447,397,Savitha Angadi,45.0,16.0,1.0,,2
448,398,Mohammed Gowda,34.0,18.0,,,1
449,399,Kiran Khan,52.0,2.0,,,1
450,400,Harish Poojari,38.0,17.0,,15.0,1
451,401,Anil Biradar,,19.0,,60.0,1
452,402,Syed Fernandes,25.0,13.0,1.0,,1
453,403,Lakshmi Shetty,39.0,4.0,1.0,37.0,2
454,404,Deepa Murthy,45.0,9.0,,22.0,2
455,405,Hanumantha Sheikh,22.0,4.0,,30.0,1
456,406,Fathima Kulkarni,,7.0,,,2
457,407,Shobha Rao,44.0,21.0,,11.0,2
458,408,Divya Gowda,47.0,6.0,1.0,,2
459,409,Asha Angadi,45.0,18.0,1.0,,2
460,410,Kiran Fernandes,49.0,24.0,1.0,3.0,1
461,410,Imran Reddy,51.0,8.0,1.0,57.0,1
462,411,Anthony Reddy,,,,27.0,1
463,412,Mary Murthy,28.0,21.0,1.0,30.0,2
464,413,Lokesh Achari,,10.0,1.0,45.0,1
465,414,Lakshmi Desai,,24.0,1.0,44.0,2
466,415,Mohammed Nayaka,40.0,20.0,2.0,,1
467,416,Shobha Bhat,,,1.0,21.0,2
468,417,Chetan Patil,26.0,15.0,1.0,19.0,1
469,418,Umesh Kumar,32.0,24.0,,22.0,1
470,419,Mary Reddy,18.0,,2.0,4.0,2
471,420,Umesh Rao,37.0,3.0,1.0,50.0,1
472,421,Asha Kulkarni,35.0,5.0,1.0,,2
473,422,Deepa Gowda,40.0,22.0,1.0,49.0,2
474,422,Anitha Kulkarni,50.0,21.0,1.0,3.0,2
475,423,Joseph Khan,50.0,15.0,1.0,7.0,1
476,424,Geetha Biradar,73.0,12.0,1.0,58.0,2
477,425,Bhagya Gowda,28.0,6.0,1.0,43.0,2
478,425,Raghavendra Pai,32.0,3.0,1.0,,1
479,426,Ramesh Poojari,36.0,,1.0,,1
480,427,Chetan Achari,28.0,21.0,1.0,,1
481,428,Prakash Desai,31.0,6.0,1.0,3.0,1
482,429,Selvi Sheikh,39.0,1.0,1.0,,2
