EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
94,1,41,2,7,KGID0000094,Nagaraj Kumar,1974-07-23,1,1.0,0,2000-06-01
95,1,41,1,2,KGID0000095,Praveen Shetty,1985-02-09,1,4.0,0,2008-06-01
96,1,41,5,3,KGID0000096,Asha Bhat,1988-11-09,2,4.0,0,2015-06-01
97,1,41,3,9,KGID0000097,Imran Murthy,1991-11-16,1,2.0,0,2016-06-01
98,1,41,3,8,KGID0000098,Harish Poojari,1989-04-05,1,2.0,0,2010-06-01
99,1,41,2,6,KGID0000099,Suresh Nayaka,1983-07-17,1,4.0,0,2010-06-01
100,1,41,5,2,KGID0000100,Vijay Kulkarni,1992-02-10,1,8.0,0,2013-06-01
101,1,41,2,10,KGID0000101,Raghavendra Rao,1970-02-09,1,6.0,0,1998-06-01
102,1,41,2,4,KGID0000102,Umesh Swamy,1975-11-10,1,7.0,0,1999-06-01
103,1,41,4,10,KGID0000103,Ramesh Swamy,1986-11-19,1,6.0,0,2009-06-01
104,1,41,3,1,KGID0000104,Irfan Rao,1986-07-12,1,2.0,0,2013-06-01
105,1,41,2,3,KGID0000105,Raghavendra Swamy,1992-03-21,1,1.0,0,2018-06-01
106,1,41,3,6,KGID0000106,Vijay Biradar,1971-02-10,1,7.0,0,1992-06-01
107,1,42,3,5,KGID0000107,Hanumantha Pai,1991-08-27,1,5.0,0,2012-06-01
108,1,42,1,6,KGID0000108,Raghavendra Naik,1996-09-06,1,,0,2018-06-01
109,1,42,2,10,KGID0000109,Harish Rao,1994-05-09,1,,0,2022-06-01
110,1,42,1,7,KGID0000110,Joseph Murthy,1984-12-10,1,7.0,0,2009-06-01
111,1,42,3,8,KGID0000111,Basavaraj Patil,1990-05-27,1,8.0,0,2018-06-01
112,1,42,4,7,KGID0000112,Prakash Desai,1978-12-09,1,5.0,0,1999-06-01
113,1,42,1,6,KGID0000113,Irfan Sheikh,1987-01-19,1,3.0,0,2011-06-01
114,1,42,2,6,KGID0000114,Girish Pai,1991-01-20,1,,0,2013-06-01
115,1,42,1,6,KGID0000115,Girish D'Souza,1985-12-15,1,1.0,0,2007-06-01
116,1,42,2,6,KGID0000116,Girish Banakar,1973-10-24,1,6.0,0,1998-06-01
117,1,42,1,8,KGID0000117,Prakash Reddy,1987-02-20,1,3.0,0,2015-06-01
118,1,42,4,7,KGID0000118,Umesh Banakar,1977-06-19,1,2.0,0,2003-06-01
119,1,42,3,7,KGID0000119,Praveen Naik,1989-02-08,1,5.0,0,2014-06-01
120,1,42,1,7,KGID0000120,Girish Fernandes,1989-04-08,1,8.0,0,2011-06-01
121,1,42,1,9,KGID0000121,Savitha Naik,1970-12-07,2,7.0,0,1996-06-01
122,1,42,2,10,KGID0000122,Manjunath Biradar,1995-01-11,1,,0,2016-06-01
123,1,42,6,1,KGID0000123,Imran Nayaka,1971-04-14,1,4.0,0,1994-06-01
124,1,42,2,10,KGID0000124,Mohammed Desai,1996-01-13,1,6.0,0,2024-06-01
125,1,42,8,7,KGID0000125,Umesh Hegde,1995-09-25,1,8.0,0,2017-06-01
126,1,43,1,4,KGID0000126,Naveen Pai,1979-06-21,1,5.0,0,2000-06-01
127,1,43,5,7,KGID0000127,Mohammed Achari,1982-07-01,1,4.0,0,2006-06-01
128,1,43,1,9,KGID0000128,Lakshmi Gowda,1974-05-03,2,5.0,0,1996-06-01
129,1,43,1,2,KGID0000129,Imran Gowda,1996-08-21,1,4.0,0,2022-06-01
130,1,43,5,8,KGID0000130,Asha Achari,1997-01-06,2,3.0,0,2020-06-01
131,1,43,3,3,KGID0000131,Suresh Achari,1983-08-09,1,4.0,0,2007-06-01
132,1,43,1,8,KGID0000132,Ayesha Khan,1994-11-15,2,8.0,0,2020-06-01
133,1,43,1,6,KGID0000133,Umesh Banakar,1999-09-08,1,6.0,0,2021-06-01
134,1,43,2,7,KGID0000134,Anil Patil,1977-08-19,1,4.0,0,2001-06-01
135,1,43,8,3,KGID0000135,Ramesh Naik,1991-12-19,1,5.0,0,2013-06-01
136,1,43,3,10,KGID0000136,Santosh Poojari,2000-09-16,1,6.0,0,2026-06-01
137,1,43,1,1,KGID0000137,Praveen Patil,1999-12-19,1,6.0,0,2025-06-01
138,1,43,6,1,KGID0000138,Mahesh Kulkarni,1993-08-19,1,8.0,0,2020-06-01
139,1,43,1,2,KGID0000139,Mahesh Patil,1980-02-09,1,6.0,0,2001-06-01
140,1,43,5,10,KGID0000140,Mahesh D'Souza,1987-09-19,1,8.0,1,2011-06-01
141,1,43,5,8,KGID0000141,Abdul Reddy,1998-07-12,1,8.0,0,2019-06-01
142,1,43,5,10,KGID0000142,Syed Achari,1987-12-26,1,1.0,0,2015-06-01
143,1,43,1,5,KGID0000143,Abdul Reddy,1979-06-09,1,6.0,0,2001-06-01
144,1,44,6,5,KGID0000144,Kiran Biradar,1985-02-23,1,1.0,0,2007-06-01
145,1,44,5,4,KGID0000145,Imran Rao,2000-04-27,1,,0,2021-06-01
146,1,44,2,9,KGID0000146,Anthony Biradar,1997-10-15,1,1.0,1,2018-06-01
147,1,44,6,4,KGID0000147,Santosh Hegde,1991-10-17,1,6.0,0,2014-06-01
148,1,44,2,2,KGID0000148,Kiran Reddy,1985-12-27,1,5.0,0,2009-06-01
149,1,44,1,1,KGID0000149,Bhagya Bhat,1989-05-07,2,8.0,0,2017-06-01
150,1,44,1,8,KGID0000150,Ayesha Kulkarni,1985-06-16,2,,0,2011-06-01
151,1,44,3,5,KGID0000151,Venkatesh Bhat,1977-01-01,1,2.0,0,2001-06-01
152,1,44,4,8,KGID0000152,Anthony Desai,1997-09-25,1,7.0,0,2025-06-01
153,1,44,1,4,KGID0000153,Chetan Gowda,1983-03-12,1,,0,2004-06-01
154,1,44,1,10,KGID0000154,Mohammed Kulkarni,1976-01-06,1,1.0,0,1999-06-01
155,1,45,3,1,KGID0000155,Wilson Kulkarni,1970-11-04,1,5.0,0,1992-06-01
156,1,45,1,5,KGID0000156,Kavitha Patil,1991-11-17,2,2.0,0,2019-06-01
157,1,45,2,10,KGID0000157,Prakash Murthy,1992-04-23,1,,0,2018-06-01
158,1,45,1,2,KGID0000158,Manjunath Banakar,1990-05-16,1,1.0,0,2014-06-01
159,1,45,2,7,KGID0000159,Praveen Murthy,1973-03-15,1,1.0,0,2000-06-01
160,1,45,2,8,KGID0000160,Joseph Pai,1971-02-27,1,6.0,0,1996-06-01
161,1,46,3,10,KGID0000161,Manjula Bhat,1974-09-23,2,3.0,0,1997-06-01
162,1,46,1,9,KGID0000162,Mohammed Kumar,1990-10-04,1,5.0,0,2013-06-01
163,1,46,5,4,KGID0000163,Girish Poojari,1975-01-15,1,3.0,0,2000-06-01
164,1,46,6,9,KGID0000164,Lokesh Rao,1982-03-08,1,3.0,0,2004-06-01
165,1,46,1,1,KGID0000165,Hanumantha Kumar,1992-07-08,1,8.0,0,2019-06-01
166,1,46,1,3,KGID0000166,Wilson D'Souza,1981-11-27,1,,0,2002-06-01
167,1,46,2,1,KGID0000167,Nagaraj Banakar,2000-11-01,1,4.0,0,2023-06-01
168,1,46,2,8,KGID0000168,Harish Fernandes,1990-02-07,1,1.0,0,2017-06-01
169,1,46,1,9,KGID0000169,Irfan Banakar,1988-10-27,1,3.0,0,2015-06-01
170,1,46,2,4,KGID0000170,Dinesh Rao,1993-08-26,1,8.0,0,2020-06-01
171,1,46,4,6,KGID0000171,Girish Desai,1997-09-16,1,1.0,0,2023-06-01
172,1,46,12,8,KGID0000172,Geetha Hegde,1972-10-25,2,8.0,0,1995-06-01
173,1,46,1,8,KGID0000173,Sunitha Naik,1980-07-24,2,4.0,0,2006-06-01
174,1,46,1,10,KGID0000174,Vijay Sheikh,2000-10-08,1,,0,2027-06-01
175,1,46,3,2,KGID0000175,Suresh Kulkarni,1968-11-24,1,3.0,0,1996-06-01
176,1,46,1,6,KGID0000176,Anthony Murthy,1971-08-10,1,,0,1995-06-01
177,1,46,3,10,KGID0000177,Santosh Sheikh,1992-09-14,1,7.0,0,2019-06-01
178,1,46,1,5,KGID0000178,Hanumantha Hegde,1982-10-11,1,7.0,0,2007-06-01
179,1,46,1,6,KGID0000179,Nagaraj Banakar,1987-04-03,1,,0,2013-06-01
180,1,46,1,3,KGID0000180,Mahesh Bhat,1999-08-20,1,7.0,0,2026-06-01
181,1,46,2,4,KGID0000181,Raghavendra Nayaka,1989-06-20,1,8.0,0,2010-06-01
182,1,46,1,2,KGID0000182,Raghavendra Achari,1985-08-19,1,6.0,0,2013-06-01
183,1,46,2,10,KGID0000183,Mohammed Kumar,1984-08-10,1,6.0,0,2005-06-01
184,1,46,5,10,KGID0000184,Nagaraj Fernandes,2000-05-11,1,5.0,0,2025-06-01
185,1,46,2,1,KGID0000185,Shivakumar Sheikh,1974-06-11,1,7.0,0,1999-06-01
186,1,46,4,1,KGID0000186,Mahesh Reddy,1983-04-17,1,,0,2008-06-01
187,1,47,3,5,KGID0000187,Kavitha Angadi,1993-03-17,2,3.0,0,2016-06-01
188,1,47,1,4,KGID0000188,Naveen Shetty,1997-07-18,1,6.0,0,2018-06-01
189,1,47,1,7,KGID0000189,Shivakumar Kulkarni,1968-09-22,1,8.0,0,1990-06-01
190,1,47,4,9,KGID0000190,Asha Nayaka,1968-08-11,2,4.0,0,1990-06-01
191,1,47,1,4,KGID0000191,Naveen Naik,1991-04-11,1,7.0,0,2018-06-01
192,1,47,2,6,KGID0000192,Umesh Patil,1983-04-02,1,7.0,0,2009-06-01
193,1,47,1,5,KGID0000193,Asha Naik,1977-10-19,2,,0,1999-06-01
194,1,47,1,7,KGID0000194,Harish Naik,1985-12-08,1,3.0,0,2013-06-01
195,1,47,1,9,KGID0000195,Manjunath Naik,1978-06-01,1,5.0,0,2004-06-01
196,1,47,1,1,KGID0000196,Manjunath Reddy,1976-09-02,1,4.0,0,2002-06-01
197,1,47,3,10,KGID0000197,Mohammed Swamy,1996-07-13,1,4.0,0,2019-06-01
198,1,47,1,2,KGID0000198,Ramesh Khan,1990-09-09,1,2.0,0,2014-06-01
199,1,47,2,6,KGID0000199,Suresh Naik,1999-03-12,1,6.0,0,2020-06-01
200,1,47,4,1,KGID0000200,Manjula Sheikh,2000-02-26,2,4.0,0,2026-06-01
201,1,47,2,9,KGID0000201,Chetan Pai,1999-09-04,1,2.0,0,2022-06-01
202,1,47,3,7,KGID0000202,Chetan Achari,1991-07-09,1,6.0,0,2015-06-01
203,1,47,7,1,KGID0000203,Manjunath Kulkarni,1992-11-22,1,6.0,0,2014-06-01
204,1,47,1,10,KGID0000204,Basavaraj Poojari,1987-08-06,1,2.0,0,2011-06-01
205,1,47,3,8,KGID0000205,Suma Desai,1975-06-15,2,7.0,0,1997-06-01
206,1,47,1,1,KGID0000206,Harish Hegde,1980-02-01,1,7.0,0,2008-06-01
207,1,47,3,9,KGID0000207,Selvi Gowda,1998-01-21,2,1.0,0,2020-06-01
208,1,48,4,2,KGID0000208,Abdul Reddy,1993-01-23,1,8.0,0,2016-06-01
209,1,48,2,6,KGID0000209,Prakash Pai,1973-11-13,1,1.0,0,1995-06-01
210,1,48,4,1,KGID0000210,Pushpa Nayaka,1983-07-22,2,8.0,0,2006-06-01
211,1,48,1,6,KGID0000211,Prakash Nayaka,1986-12-08,1,,0,2013-06-01
212,1,48,1,5,KGID0000212,Chetan Bhat,1977-12-12,1,3.0,0,2004-06-01
213,1,48,1,7,KGID0000213,Venkatesh Khan,1985-10-11,1,3.0,0,2011-06-01
214,1,48,1,8,KGID0000214,Suresh Naik,1973-07-09,1,3.0,0,2000-06-01
215,1,48,2,3,KGID0000215,Ramesh Shetty,1998-10-27,1,5.0,0,2021-06-01
216,1,48,1,3,KGID0000216,Nagaraj Hegde,1993-07-12,1,,0,2019-06-01
217,1,48,4,6,KGID0000217,Venkatesh Nayaka,1981-07-04,1,7.0,0,2006-06-01
218,1,48,7,1,KGID0000218,Naveen Poojari,1983-11-22,1,,0,2006-06-01
219,1,48,2,9,KGID0000219,Wilson Angadi,1997-11-14,1,,0,2020-06-01
220,1,48,1,4,KGID0000220,Anthony Kulkarni,1975-02-20,1,4.0,0,2002-06-01
221,1,48,1,8,KGID0000221,Suresh D'Souza,1968-10-25,1,1.0,0,1995-06-01
222,1,48,6,3,KGID0000222,Chetan Pai,1989-01-02,1,6.0,0,2012-06-01
223,1,48,1,1,KGID0000223,Manjunath D'Souza,1985-09-06,1,,0,2010-06-01
224,1,48,1,9,KGID0000224,Syed Shetty,1978-10-13,1,2.0,0,2000-06-01
225,1,48,1,5,KGID0000225,Prakash Swamy,1988-01-25,1,4.0,0,2015-06-01
226,1,48,1,7,KGID0000226,Manjunath Poojari,1990-09-22,1,4.0,0,2014-06-01
227,1,48,2,8,KGID0000227,Girish Poojari,1969-10-13,1,,0,1995-06-01
228,1,48,1,1,KGID0000228,Shivakumar Reddy,1982-11-07,1,2.0,0,2007-06-01
229,1,48,7,9,KGID0000229,Mahesh Murthy,1976-05-27,1,3.0,0,2003-06-01
230,1,48,1,2,KGID0000230,Nagaraj Khan,1981-12-21,1,1.0,0,2009-06-01
231,1,48,1,3,KGID0000231,Umesh Murthy,1978-05-06,1,2.0,0,1999-06-01
232,1,48,5,10,KGID0000232,Raghavendra Khan,1993-06-15,1,2.0,0,2016-06-01
233,1,48,1,2,KGID0000233,Venkatesh Sheikh,1992-09-09,1,8.0,0,2014-06-01
234,1,48,1,7,KGID0000234,Vijay Gowda,1972-05-14,1,5.0,0,1997-06-01
235,1,48,2,5,KGID0000235,Raghavendra Kulkarni,1971-03-05,1,,0,1997-06-01
236,1,48,2,7,KGID0000236,Shivakumar D'Souza,1983-06-11,1,3.0,0,2009-06-01
237,1,49,1,6,KGID0000237,Abdul Murthy,1968-07-01,1,7.0,0,1989-06-01
238,1,49,2,3,KGID0000238,Kiran Shetty,1994-07-19,1,2.0,0,2022-06-01
239,1,49,1,8,KGID0000239,Dinesh Kumar,1987-08-27,1,5.0,0,2015-06-01
240,1,49,3,5,KGID0000240,Nagaraj Shetty,1983-03-15,1,4.0,0,2006-06-01
241,1,49,8,8,KGID0000241,Kiran Angadi,1968-07-15,1,2.0,0,1991-06-01
242,1,49,2,10,KGID0000242,Prakash Achari,1996-05-17,1,4.0,0,2022-06-01
243,1,49,5,10,KGID0000243,Suma Murthy,1997-06-07,2,8.0,0,2023-06-01
244,1,49,3,6,KGID0000244,Suresh Bhat,1998-02-08,1,4.0,0,2021-06-01
245,1,49,1,1,KGID0000245,Joseph Sheikh,1996-08-03,1,5.0,0,2017-06-01
246,1,49,2,2,KGID0000246,Venkatesh Rao,1968-11-06,1,4.0,0,1994-06-01
247,1,49,4,5,KGID0000247,Praveen Rao,1978-06-01,1,7.0,0,2001-06-01
248,1,49,2,6,KGID0000248,Syed Khan,1981-08-05,1,1.0,1,2006-06-01
249,1,49,1,3,KGID0000249,Suresh Khan,1986-09-26,1,2.0,0,2008-06-01
250,1,49,1,3,KGID0000250,Mahesh Murthy,1998-11-05,1,1.0,0,2026-06-01
251,1,49,1,3,KGID0000251,Wilson Poojari,1984-10-22,1,7.0,0,2008-06-01
252,1,50,1,1,KGID0000252,Kiran Rao,1970-12-03,1,4.0,0,1998-06-01
253,1,50,1,3,KGID0000253,Umesh Naik,1977-10-25,1,5.0,0,2004-06-01
254,1,50,1,8,KGID0000254,Ayesha Sheikh,1995-02-10,2,5.0,0,2016-06-01
255,1,50,1,7,KGID0000255,Venkatesh Poojari,1982-06-23,1,1.0,0,2006-06-01
256,1,50,8,6,KGID0000256,Sunitha Nayaka,1980-02-07,2,,0,2006-06-01
257,1,50,1,5,KGID0000257,Manjula Desai,1988-04-22,2,5.0,0,2014-06-01
258,1,50,5,8,KGID0000258,Lokesh Achari,1976-09-18,1,,0,2001-06-01
259,1,50,2,2,KGID0000259,Shivakumar Rao,1986-08-06,1,1.0,0,2012-06-01
260,1,50,2,10,KGID0000260,Abdul Hegde,1996-05-19,1,6.0,0,2020-06-01
261,1,50,2,6,KGID0000261,Srinivas Fernandes,1995-02-11,1,1.0,0,2017-06-01
262,1,50,3,7,KGID0000262,Basavaraj Sheikh,1974-09-16,1,1.0,0,1995-06-01
263,1,50,7,6,KGID0000263,Naveen Nayaka,1986-06-06,1,7.0,0,2013-06-01
264,1,50,1,6,KGID0000264,Naveen Pai,1972-04-10,1,1.0,0,2000-06-01
265,1,50,4,7,KGID0000265,Raghavendra Bhat,1997-10-23,1,2.0,0,2025-06-01
266,1,50,1,5,KGID0000266,Shobha Gowda,1971-07-20,2,7.0,0,1996-06-01
267,1,50,1,4,KGID0000267,Manjunath Desai,1999-02-14,1,,0,2024-06-01
268,1,50,3,1,KGID0000268,Lokesh Murthy,1990-01-15,1,5.0,0,2017-06-01
269,1,51,1,4,KGID0000269,Ramesh Fernandes,1991-03-17,1,7.0,0,2017-06-01
270,1,51,4,5,KGID0000270,Imran Swamy,1988-06-22,1,,0,2010-06-01
271,1,51,3,4,KGID0000271,Hanumantha Angadi,1996-05-16,1,6.0,0,2024-06-01
272,1,51,1,6,KGID0000272,Umesh Banakar,1991-03-02,1,2.0,0,2012-06-01
273,1,51,1,9,KGID0000273,Umesh Murthy,1985-05-24,1,7.0,0,2008-06-01
274,1,51,2,3,KGID0000274,Manjunath Khan,2000-03-27,1,5.0,0,2028-06-01
275,1,51,1,4,KGID0000275,Shivakumar Nayaka,1977-01-15,1,,0,1998-06-01
276,1,51,1,2,KGID0000276,Basavaraj Bhat,1990-03-15,1,4.0,0,2012-06-01
277,1,51,1,1,KGID0000277,Hanumantha Shetty,1994-06-01,1,3.0,0,2021-06-01
278,1,51,2,8,KGID0000278,Naveen Sheikh,1980-10-23,1,2.0,0,2003-06-01
279,1,51,1,9,KGID0000279,Sunitha Pai,1972-06-07,2,4.0,0,1997-06-01
280,1,51,8,2,KGID0000280,Praveen Biradar,1984-02-21,1,8.0,0,2007-06-01
281,1,51,1,10,KGID0000281,Lakshmi Swamy,1980-07-01,2,5.0,0,2007-06-01
282,1,51,1,4,KGID0000282,Imran Angadi,1989-09-08,1,,0,2011-06-01
283,1,51,5,10,KGID0000283,Praveen Bhat,1969-03-20,1,8.0,0,1993-06-01
284,1,51,1,10,KGID0000284,Naveen Khan,1986-12-27,1,6.0,0,2013-06-01
285,1,51,3,3,KGID0000285,Chetan Achari,1972-06-02,1,3.0,0,1996-06-01
286,1,51,3,3,KGID0000286,Harish Swamy,1992-10-04,1,4.0,0,2014-06-01
287,1,51,5,8,KGID0000287,Praveen Banakar,1972-12-10,1,,0,2000-06-01
288,1,51,1,4,KGID0000288,Prakash Fernandes,1969-06-05,1,5.0,0,1997-06-01
