VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
183,166,Chetan D'Souza,,1,0
184,168,Raghavendra Pai,46.0,1,0
185,169,Syed Gowda,8.0,1,0
186,170,Deepa Murthy,43.0,2,0
187,170,Anitha Bhat,33.0,2,0
188,171,Syed Gowda,39.0,1,0
189,172,Abdul Murthy,48.0,1,0
190,173,Divya Pai,25.0,2,0
191,174,Anthony Sheikh,42.0,1,0
192,175,Irfan Patil,32.0,1,0
193,176,Ramesh Nayaka,53.0,1,0
194,176,Shivakumar Naik,54.0,1,0
195,177,Prakash Naik,37.0,1,0
196,178,Sunitha Patil,27.0,2,0
197,180,Ramesh Fernandes,,1,0
198,181,Shivakumar Hegde,51.0,1,0
199,182,Rekha Shetty,26.0,2,0
200,183,Rekha Murthy,52.0,2,0
201,184,Unknown,,1,0
202,185,Harish Poojari,48.0,1,0
203,187,Srinivas Patil,10.0,1,0
204,188,Anthony Biradar,47.0,1,0
205,189,Girish Nayaka,13.0,1,0
206,189,Anil Angadi,19.0,1,0
207,190,Anitha Swamy,19.0,2,0
208,190,Shobha Shetty,14.0,2,0
209,191,Rekha Khan,33.0,2,0
210,192,Rekha Poojari,33.0,2,0
211,193,Girish Sheikh,42.0,1,0
212,194,Shivakumar Angadi,52.0,1,0
213,195,Umesh Banakar,32.0,1,0
214,196,Raghavendra Angadi,47.0,1,0
215,197,Srinivas Gowda,23.0,1,0
216,198,Nagaraj Bhat,5.0,1,0
217,199,Anitha Achari,32.0,2,0
218,200,Unknown,24.0,1,0
219,201,Nagaraj Gowda,49.0,1,0
220,202,Ramesh Rao,45.0,1,0
221,203,Venkatesh Pai,44.0,1,0
222,204,Manjula Naik,38.0,2,0
223,205,Divya Shetty,17.0,2,0
224,206,Mary Fernandes,32.0,2,0
225,207,Shivakumar Desai,35.0,1,0
226,208,Harish Kumar,22.0,1,0
227,208,Umesh Desai,27.0,1,0
228,209,Pushpa Hegde,,2,0
229,209,Savitha Desai,35.0,2,0
230,210,Radha Khan,22.0,2,0
231,211,Unknown,,2,0
232,212,Mohammed D'Souza,52.0,1,0
233,213,Deepa Banakar,35.0,2,0
234,214,Dinesh Pai,33.0,1,0
235,215,Divya Bhat,42.0,2,0
236,216,Radha Kulkarni,31.0,2,0
237,217,Suresh Pai,35.0,1,0
238,217,Naveen Bhat,36.0,1,0
239,218,Dinesh D'Souza,33.0,1,0
240,218,Basavaraj Kulkarni,15.0,1,0
241,219,Nagaraj Gowda,,1,0
242,220,Asha Angadi,21.0,2,0
243,221,Vijay Kulkarni,35.0,1,0
244,221,Anitha Murthy,7.0,2,0
245,222,Savitha Desai,21.0,2,0
246,223,Suma Kumar,42.0,2,0
247,224,Shobha Angadi,26.0,2,0
248,225,Bhagya Swamy,14.0,2,0
249,226,Unknown,,2,0
250,227,Geetha Fernandes,20.0,2,0
251,228,Manjula Sheikh,22.0,2,0
252,229,Radha Fernandes,48.0,2,0
253,229,Santosh Nayaka,37.0,1,0
254,230,Shobha Murthy,25.0,2,0
255,232,Basavaraj D'Souza,30.0,1,0
256,233,Santosh Fernandes,38.0,1,0
257,234,Mohammed Fernandes,47.0,1,0
258,235,Pallavi Poojari,13.0,2,0
259,236,Prakash Shetty,,1,0
260,236,Manjunath Reddy,26.0,1,0
261,237,Praveen Hegde,52.0,1,0
262,237,Praveen Hegde,29.0,1,0
263,238,Chetan Kulkarni,28.0,1,0
264,239,Asha Naik,47.0,2,0
265,240,Joseph Kulkarni,33.0,1,0
266,241,Unknown,34.0,2,0
267,242,Deepa Kulkarni,5.0,2,0
268,242,Selvi Angadi,28.0,2,0
269,243,Umesh Bhat,,1,0
270,244,Pallavi Naik,30.0,2,0
271,245,Deepa Naik,40.0,2,0
272,246,Fathima Fernandes,18.0,2,0
273,247,Mohammed Biradar,35.0,1,0
274,248,Joseph Kumar,,1,0
275,249,Fathima Achari,,2,0
276,250,Mohammed Fernandes,,1,0
277,250,Ramesh Murthy,52.0,1,0
278,251,Venkatesh Reddy,45.0,1,0
279,252,Umesh Desai,29.0,1,0
280,252,Chetan D'Souza,39.0,1,0
281,253,Geetha Reddy,45.0,2,0
282,253,Pushpa Banakar,51.0,2,0
283,254,Bhagya Khan,43.0,2,1
284,254,Chetan Poojari,,1,0
285,255,Praveen Sheikh,42.0,1,0
286,256,Rekha Poojari,,2,0
287,257,Unknown,21.0,1,0
288,258,Rekha Shetty,41.0,2,0
289,259,Srinivas Angadi,36.0,1,0
290,259,Kiran Gowda,19.0,1,0
291,260,Kavitha Kulkarni,56.0,2,0
292,261,Nagamma Nayaka,29.0,2,0
293,263,Girish Desai,27.0,1,0
294,264,Lakshmi Achari,45.0,2,0
295,265,Savitha Banakar,19.0,2,0
296,266,Praveen Achari,43.0,1,0
297,267,Anitha D'Souza,19.0,2,0
298,267,Vijay Gowda,46.0,1,0
299,268,Unknown,36.0,2,0
300,269,Anil Reddy,5.0,1,0
301,271,Unknown,,1,0
302,272,Suresh Shetty,27.0,1,0
303,273,Divya Sheikh,32.0,2,0
304,274,Manjunath Poojari,32.0,1,0
305,276,Praveen Angadi,32.0,1,0
306,277,Suresh Biradar,49.0,1,0
307,278,Mahesh D'Souza,17.0,1,0
308,279,Hanumantha Swamy,48.0,1,0
309,280,Savitha Banakar,48.0,2,0
310,281,Vijay Fernandes,53.0,1,0
311,282,Geetha Sheikh,43.0,2,0
312,283,Shivakumar Bhat,31.0,1,0
313,284,Chetan Rao,47.0,1,0
314,285,Basavaraj Achari,5.0,1,0
315,286,Girish Desai,41.0,1,0
316,287,Lokesh Biradar,,1,0
317,288,Prakash Swamy,28.0,1,0
318,288,Santosh Banakar,31.0,1,0
319,289,Selvi Desai,25.0,2,0
320,290,Venkatesh Bhat,26.0,1,1
321,290,Abdul D'Souza,20.0,1,0
322,291,Syed Pai,34.0,1,0
323,292,Ayesha Gowda,25.0,2,0
324,293,Shobha Nayaka,47.0,2,0
325,294,Vijay Shetty,53.0,1,0
326,295,Pushpa Nayaka,38.0,2,0
327,296,Imran Hegde,39.0,1,0
328,297,Mohammed Shetty,25.0,1,0
329,298,Lokesh Biradar,28.0,1,0
330,299,Divya Nayaka,21.0,2,0
331,299,Deepa Sheikh,54.0,2,0
332,300,Pallavi Bhat,36.0,2,0
333,300,Selvi Gowda,46.0,2,0
334,301,Pallavi Fernandes,,2,0
335,302,Santosh Sheikh,37.0,1,0
336,303,Kavitha Fernandes,54.0,2,0
337,304,Chetan Angadi,4.0,1,0
338,304,Venkatesh Angadi,6.0,1,0
339,305,Naveen Patil,37.0,1,0
340,306,Santosh Kulkarni,21.0,1,0
341,308,Fathima Nayaka,,2,0
342,310,Irfan Patil,5.0,1,0
343,310,Naveen Swamy,25.0,1,0
344,311,Nagaraj Sheikh,27.0,1,0
345,313,Geetha Patil,35.0,2,0
346,313,Divya Biradar,22.0,2,0
347,314,Radha Kulkarni,20.0,2,0
348,314,Selvi Naik,30.0,2,1
349,315,Praveen Fernandes,41.0,1,0
350,315,Fathima D'Souza,43.0,2,0
351,316,Pallavi Banakar,24.0,2,0
352,316,Syed Banakar,60.0,1,0
353,317,Sunitha D'Souza,,2,0
354,318,Vijay Patil,32.0,1,0
355,318,Kiran Kumar,,1,0
356,319,Shivakumar Naik,24.0,1,0
357,320,Ramesh Hegde,,1,0
358,321,Venkatesh Biradar,32.0,1,0
359,322,Fathima Reddy,13.0,2,0
360,323,Rekha Fernandes,,2,0
361,325,Manjula Kumar,46.0,2,0
362,326,Ramesh Reddy,21.0,1,0
363,327,Syed Swamy,53.0,1,0
364,328,Praveen D'Souza,36.0,1,0
365,329,Vijay Fernandes,51.0,1,0
366,329,Harish Reddy,13.0,1,0
367,330,Harish Achari,5.0,1,0
368,331,Sunitha Biradar,31.0,2,0
369,332,Kavitha Shetty,32.0,2,0
370,332,Lokesh Achari,33.0,1,0
371,333,Mary Rao,40.0,2,0
372,333,Rekha Desai,9.0,2,0
373,334,Praveen Naik,,1,0
374,335,Wilson Murthy,39.0,1,0
375,336,Srinivas Biradar,42.0,1,0
376,336,Suma Angadi,22.0,2,0
377,337,Chetan Poojari,26.0,1,0
378,338,Kavitha Pai,,2,0
379,339,Unknown,,1,0
380,342,Unknown,59.0,2,0
381,343,Imran Nayaka,16.0,1,1
382,343,Mohammed Pai,,1,0
383,344,Unknown,32.0,2,0
384,345,Ayesha Sheikh,41.0,2,0
385,346,Chetan D'Souza,39.0,1,0
386,347,Mahesh Achari,24.0,1,0
387,347,Mahesh Biradar,28.0,1,0
388,348,Vijay D'Souza,,1,0
389,349,Suresh Angadi,39.0,1,0
390,349,Ayesha Hegde,18.0,2,0
391,350,Basavaraj Kulkarni,7.0,1,0
392,351,Deepa Shetty,68.0,2,0
393,352,Selvi Nayaka,,2,0
394,352,Shobha Shetty,19.0,2,0
395,353,Mary Biradar,36.0,2,0
396,354,Abdul D'Souza,41.0,1,0
397,354,Mary Gowda,44.0,2,0
398,355,Lokesh Kumar,34.0,1,0
399,356,Manjula Gowda,30.0,2,0
400,357,Ramesh Angadi,7.0,1,0
401,357,Ayesha Reddy,42.0,2,0
402,358,Lakshmi Angadi,17.0,2,0
403,359,Rekha D'Souza,36.0,2,0
404,360,Unknown,36.0,1,0
405,361,Suma Reddy,39.0,2,0
406,361,Mary Poojari,32.0,2,0
407,361,Srinivas Nayaka,,1,0
408,362,Mohammed Pai,30.0,1,0
409,363,Irfan Reddy,,1,0
410,364,Ramesh Patil,6.0,1,0
411,364,Nagaraj Murthy,8.0,1,0
412,365,Unknown,39.0,2,1
413,366,Umesh Biradar,4.0,1,0
414,367,Hanumantha Achari,11.0,1,0
415,368,Geetha Nayaka,,2,0
416,369,Nagamma Nayaka,28.0,2,0
417,370,Raghavendra Hegde,17.0,1,1
418,370,Raghavendra Biradar,53.0,1,0
419,371,Anthony Naik,47.0,1,0
420,372,Wilson Biradar,24.0,1,0
421,373,Imran Rao,31.0,1,0
422,374,Harish Khan,35.0,1,0
423,374,Anil Kumar,48.0,1,0
424,375,Venkatesh Naik,4.0,1,0
425,375,Lakshmi Sheikh,9.0,2,0
426,376,Raghavendra Murthy,35.0,1,0
427,377,Savitha Patil,,2,0
428,378,Asha Fernandes,32.0,2,0
429,379,Naveen Shetty,27.0,1,0
430,381,Prakash D'Souza,23.0,1,0
431,382,Suresh Shetty,33.0,1,0
432,383,Asha Biradar,29.0,2,0
433,384,Praveen Naik,37.0,1,0
434,385,Dinesh Nayaka,18.0,1,0
435,385,Lakshmi Banakar,46.0,2,0
436,386,Radha Rao,25.0,2,0
437,386,Divya Banakar,45.0,2,0
438,387,Kiran Naik,53.0,1,0
439,387,Suma Angadi,45.0,2,0
440,388,Fathima Shetty,21.0,2,0
441,389,Fathima Swamy,35.0,2,0
442,390,Santosh Desai,35.0,1,0
443,391,Dinesh D'Souza,51.0,1,0
444,392,Suma Biradar,37.0,2,0
445,393,Sunitha Swamy,20.0,2,0
446,394,Anthony Pai,4.0,1,0
447,396,Lakshmi Desai,39.0,2,0
448,397,Prakash Desai,35.0,1,0
449,397,Ramesh Nayaka,,1,0
450,398,Harish Banakar,23.0,1,0
451,399,Wilson Naik,18.0,1,0
452,400,Praveen Swamy,,1,0
453,401,Raghavendra Biradar,40.0,1,0
454,402,Asha Khan,35.0,2,0
455,403,Unknown,67.0,1,0
456,404,Unknown,55.0,1,0
457,405,Basavaraj Murthy,42.0,1,0
458,406,Nagaraj Bhat,24.0,1,0
459,407,Pallavi D'Souza,,2,0
460,408,Naveen Achari,29.0,1,0
461,409,Asha Bhat,9.0,2,0
462,410,Nagamma Shetty,46.0,2,0
463,411,Unknown,26.0,2,0
464,412,Ramesh Fernandes,29.0,1,0
465,413,Santosh Fernandes,,1,0
466,414,Nagamma Hegde,28.0,2,0
467,415,Harish Fernandes,51.0,1,0
468,416,Rekha Naik,47.0,2,0
469,417,Anthony Angadi,32.0,1,0
470,418,Abdul Biradar,39.0,1,0
471,419,Deepa Nayaka,30.0,2,0
472,420,Irfan Shetty,35.0,1,0
473,421,Pallavi Poojari,52.0,2,0
474,423,Divya Rao,35.0,2,0
475,424,Mary Khan,32.0,2,0
476,425,Anitha Shetty,28.0,2,0
477,426,Naveen Desai,,1,0
478,426,Deepa Angadi,21.0,2,0
479,427,Divya Reddy,43.0,2,0
480,427,Harish Poojari,30.0,1,0
481,427,Chetan Hegde,,1,0
482,428,Kiran Biradar,30.0,1,0
483,429,Prakash Bhat,52.0,1,0
484,429,Umesh Rao,49.0,1,0
485,430,Pallavi Banakar,50.0,2,0
486,431,Manjunath D'Souza,20.0,1,0
487,432,Vijay Swamy,31.0,1,0
488,433,Manjunath Poojari,,1,0
489,434,Ramesh D'Souza,,1,0
490,435,Irfan Desai,,1,0
491,436,Prakash Swamy,21.0,1,0
492,437,Prakash Banakar,,1,0
493,437,Lakshmi Bhat,5.0,2,0
494,438,Nagaraj Fernandes,,1,0
495,439,Wilson Banakar,,1,0
496,439,Kiran Fernandes,27.0,1,0
497,440,Mohammed Shetty,21.0,1,0
498,441,Fathima Reddy,57.0,2,0
499,442,Imran Kumar,42.0,1,0
500,443,Santosh Khan,47.0,1,0
501,444,Pushpa Sheikh,6.0,2,0
502,445,Hanumantha Biradar,11.0,1,0
503,446,Prakash Sheikh,13.0,1,0
504,447,Srinivas Gowda,52.0,1,0
505,448,Imran Rao,27.0,1,0
506,449,Girish Desai,51.0,1,0
507,450,Irfan D'Souza,38.0,1,0
508,451,Praveen Kulkarni,43.0,1,0
509,452,Pushpa Murthy,22.0,2,0
510,453,Selvi Poojari,55.0,2,0
511,454,Vijay Hegde,29.0,1,0
512,455,Unknown,,2,0
513,456,Selvi Rao,43.0,2,0
514,457,Harish Swamy,32.0,1,0
515,458,Anil D'Souza,44.0,1,0
516,458,Nagamma Pai,32.0,2,0
517,459,Radha Shetty,39.0,2,0
518,461,Santosh Fernandes,35.0,1,0
519,462,Shivakumar Murthy,12.0,1,0
520,463,Basavaraj Biradar,40.0,1,0
521,463,Lakshmi Poojari,51.0,2,0
522,465,Raghavendra Patil,57.0,1,0
523,465,Suresh Nayaka,50.0,1,0
524,466,Sunitha Kulkarni,46.0,2,0
525,467,Mahesh Bhat,59.0,1,0
526,468,Harish Achari,,1,0
527,469,Bhagya Rao,23.0,2,0
528,470,Suresh Khan,12.0,1,0
529,470,Lakshmi Gowda,9.0,2,0
530,471,Umesh Rao,5.0,1,0
531,472,Pallavi Gowda,34.0,2,0
532,473,Unknown,,1,0
533,474,Umesh Fernandes,40.0,1,0
534,475,Naveen D'Souza,,1,0
535,475,Syed Patil,,1,0
536,476,Lakshmi Desai,22.0,2,0
537,477,Sunitha Shetty,34.0,2,0
538,478,Umesh Hegde,40.0,1,0
539,479,Lakshmi Desai,39.0,2,0
540,480,Chetan Patil,40.0,1,0
541,481,Harish Rao,46.0,1,0
542,482,Lakshmi Shetty,47.0,2,0
543,483,Prakash Hegde,48.0,1,0
544,484,Geetha Gowda,,2,0
545,485,Shobha Reddy,30.0,2,0
546,486,Unknown,34.0,1,0
547,487,Shobha Kulkarni,33.0,2,0
548,488,Pushpa Sheikh,35.0,2,0
549,489,Srinivas Swamy,,1,0
550,490,Vijay D'Souza,38.0,1,0
551,491,Asha Angadi,36.0,2,0
552,491,Radha Patil,29.0,2,0
553,492,Divya Angadi,11.0,2,0
554,492,Asha Rao,32.0,2,0
555,493,Mary Poojari,41.0,2,0
556,494,Unknown,,1,0
557,495,Anitha Naik,,2,0
558,495,Selvi Hegde,33.0,2,0
559,496,Umesh Murthy,36.0,1,0
560,497,Shivakumar Desai,37.0,1,0
561,498,Kiran Khan,7.0,1,0
562,499,Chetan Desai,51.0,1,0
563,501,Imran Bhat,31.0,1,0
564,502,Kavitha Angadi,39.0,2,0
565,502,Syed D'Souza,28.0,1,0
566,503,Savitha Kumar,28.0,2,0
567,504,Anthony Naik,18.0,1,0
568,505,Suma Poojari,32.0,2,1
569,506,Mary Naik,39.0,2,0
570,506,Rekha Fernandes,21.0,2,0
571,507,Srinivas Biradar,30.0,1,0
572,508,Abdul Hegde,14.0,1,0
573,508,Asha Rao,10.0,2,0
574,509,Abdul Shetty,32.0,1,0
575,510,Anil Sheikh,38.0,1,0
576,511,Nagaraj Bhat,11.0,1,0
577,511,Chetan Fernandes,45.0,1,0
578,512,Nagamma Sheikh,29.0,2,0
579,512,Fathima Patil,5.0,2,0
580,513,Ayesha Achari,27.0,2,0
581,514,Divya Bhat,15.0,2,0
582,514,Raghavendra D'Souza,36.0,1,0
583,515,Fathima Hegde,32.0,2,0
584,516,Nagamma Sheikh,24.0,2,0
585,517,Mahesh Biradar,41.0,1,0
586,518,Anitha Khan,31.0,2,0
587,519,Naveen Bhat,38.0,1,0
588,520,Venkatesh Achari,14.0,1,0
589,521,Pallavi Shetty,38.0,2,0
590,522,Basavaraj Swamy,5.0,1,0
591,523,Divya Shetty,25.0,2,0
592,523,Chetan Angadi,,1,0
593,525,Pushpa Kumar,51.0,2,0
594,527,Nagaraj Bhat,10.0,1,0
595,527,Mahesh Murthy,6.0,1,0
596,528,Sunitha Gowda,,2,0
597,528,Selvi Shetty,45.0,2,0
598,529,Shobha Bhat,,2,0
599,530,Ramesh Rao,42.0,1,0
600,531,Shivakumar D'Souza,20.0,1,0
601,532,Hanumantha Kumar,18.0,1,0
602,533,Joseph Biradar,19.0,1,0
603,533,Chetan Angadi,33.0,1,0
604,534,Umesh Reddy,33.0,1,0
605,535,Girish Fernandes,46.0,1,0
606,536,Nagamma Achari,46.0,2,0
607,537,Manjunath Patil,,1,0
608,538,Asha Banakar,25.0,2,0
609,540,Pushpa Biradar,28.0,2,0
610,541,Rekha Fernandes,28.0,2,0
611,542,Radha D'Souza,8.0,2,0
612,542,Pallavi Nayaka,48.0,2,0
613,543,Joseph D'Souza,39.0,1,0
614,543,Basavaraj Gowda,24.0,1,0
615,544,Deepa Pai,,2,0
616,545,Lokesh Shetty,48.0,1,0
617,545,Santosh D'Souza,8.0,1,0
618,546,Lakshmi Poojari,28.0,2,0
619,547,Manjunath Achari,56.0,1,0
620,547,Mohammed Patil,26.0,1,0
621,548,Pallavi Fernandes,12.0,2,0
622,549,Praveen Pai,47.0,1,0
623,550,Radha Pai,48.0,2,0
624,551,Prakash Kulkarni,24.0,1,0
625,552,Ramesh Biradar,5.0,1,0
626,553,Divya Hegde,26.0,2,0
627,553,Suma Desai,34.0,2,0
628,554,Bhagya Achari,41.0,2,0
629,555,Vijay Reddy,38.0,1,0
630,555,Vijay Reddy,18.0,1,0
631,556,Umesh Rao,52.0,1,0
632,557,Suresh Achari,34.0,1,0
633,558,Savitha Rao,24.0,2,0
634,559,Manjula Khan,54.0,2,0
635,560,Anitha Patil,29.0,2,0
636,561,Lakshmi Kumar,33.0,2,0
637,562,Unknown,58.0,1,0
638,563,Umesh Swamy,47.0,1,0
639,566,Venkatesh Desai,11.0,1,0
640,566,Selvi Khan,35.0,2,0
641,567,Anthony Swamy,36.0,1,0
642,568,Prakash Reddy,30.0,1,0
643,569,Naveen Swamy,20.0,1,0
644,570,Srinivas Kulkarni,57.0,1,0
645,571,Syed Murthy,36.0,1,0
646,572,Lokesh Angadi,,1,0
647,573,Ramesh Hegde,25.0,1,0
648,574,Unknown,,1,0
649,575,Basavaraj Biradar,47.0,1,0
650,576,Manjunath Hegde,22.0,1,0
651,577,Mohammed Hegde,,1,0
652,578,Abdul Kulkarni,32.0,1,0
653,579,Unknown,44.0,1,0
654,580,Radha Reddy,52.0,2,0
655,580,Manjula Kumar,51.0,2,0
656,581,Pushpa Khan,44.0,2,0
657,582,Rekha Patil,47.0,2,0
658,583,Kavitha Rao,40.0,2,0
659,584,Unknown,,1,0
660,585,Venkatesh Bhat,32.0,1,0
661,585,Mahesh Shetty,28.0,1,0
662,586,Abdul Murthy,32.0,1,0
663,586,Sunitha Khan,37.0,2,0
664,587,Anthony Khan,39.0,1,0
665,587,Anil Banakar,37.0,1,0
666,588,Shivakumar Patil,,1,0
667,588,Anthony Naik,26.0,1,0
668,589,Suma Bhat,12.0,2,0
669,589,Wilson Reddy,46.0,1,0
670,590,Manjunath Patil,,1,0
671,591,Prakash Khan,20.0,1,0
